,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
199,Fvb1,9900001,9950000,50000,*,11353,46330,0.0561663656747557,CG,AK_FK
200,Fvb1,9950001,10000000,50000,*,8427,27811,-0.00093728255119746,CG,AK_FK
201,Fvb1,10000001,10050000,50000,*,15522,34075,0.0691749163205178,CG,AK_FK
202,Fvb1,10050001,10100000,50000,*,13582,40088,0.0359262639833962,CG,AK_FK
203,Fvb1,10100001,10150000,50000,*,5353,40616,0.036617990086977,CG,AK_FK
204,Fvb1,10150001,10200000,50000,*,16752,58690,0.0521151836474514,CG,AK_FK
205,Fvb1,10200001,10250000,50000,*,10330,40896,0.0575166773283922,CG,AK_FK
206,Fvb1,10250001,10300000,50000,*,20736,41101,0.073166347631843,CG,AK_FK
207,Fvb1,10300001,10350000,50000,*,11088,36233,0.0119365343665758,CG,AK_FK
208,Fvb1,10350001,10400000,50000,*,17756,40436,0.0536800242948412,CG,AK_FK
209,Fvb1,10400001,10450000,50000,*,14733,48734,0.0745599420158295,CG,AK_FK
210,Fvb1,10450001,10500000,50000,*,29054,53994,0.0653959744210424,CG,AK_FK
211,Fvb1,10500001,10550000,50000,*,14021,36461,0.027335764915164,CG,AK_FK
212,Fvb1,10550001,10600000,50000,*,13137,44399,0.125606175675824,CG,AK_FK
213,Fvb1,10600001,10650000,50000,*,8283,36154,0.0123302630916092,CG,AK_FK
214,Fvb1,10650001,10700000,50000,*,11713,44853,0.0443384760193562,CG,AK_FK
215,Fvb1,10700001,10750000,50000,*,14185,36581,0.0771316674323383,CG,AK_FK
216,Fvb1,10750001,10800000,50000,*,15049,25737,0.0144956956376364,CG,AK_FK
217,Fvb1,10800001,10850000,50000,*,11650,41292,0.02920592706685,CG,AK_FK
218,Fvb1,10850001,10900000,50000,*,15657,30421,0.00213339854815076,CG,AK_FK
219,Fvb1,10900001,10950000,50000,*,17249,44994,0.0386390762726152,CG,AK_FK
220,Fvb1,10950001,11000000,50000,*,8928,38577,0.00302733854485687,CG,AK_FK
221,Fvb1,11000001,11050000,50000,*,9608,40069,0.00857299381593293,CG,AK_FK
222,Fvb1,11050001,11100000,50000,*,19100,30838,0.103648319550778,CG,AK_FK
223,Fvb1,11100001,11150000,50000,*,11184,43250,0.0796324392352462,CG,AK_FK
224,Fvb1,11150001,11200000,50000,*,16548,30394,-0.0237486822946775,CG,AK_FK
225,Fvb1,11200001,11250000,50000,*,12058,36759,0.025663645159891,CG,AK_FK
226,Fvb1,11250001,11300000,50000,*,12802,27644,0.0752894606365497,CG,AK_FK
227,Fvb1,11300001,11350000,50000,*,14644,40906,0.0654120945248649,CG,AK_FK
228,Fvb1,11350001,11400000,50000,*,13915,25782,0.0273961361847952,CG,AK_FK
229,Fvb1,11400001,11450000,50000,*,18428,40300,0.0394030363055184,CG,AK_FK
230,Fvb1,11450001,11500000,50000,*,25235,35100,0.155759458051155,CG,AK_FK
231,Fvb1,11500001,11550000,50000,*,11392,41697,0.0238072332584248,CG,AK_FK
232,Fvb1,11550001,11600000,50000,*,11386,29615,-0.0343058866152346,CG,AK_FK
233,Fvb1,11600001,11650000,50000,*,14106,32971,-0.0191864716045796,CG,AK_FK
234,Fvb1,11650001,11700000,50000,*,3932,8030,-0.263603862844524,CG,AK_FK
235,Fvb1,11700001,11750000,50000,*,19293,33589,0.106333111589996,CG,AK_FK
236,Fvb1,11750001,11800000,50000,*,11504,43763,0.0311088619521737,CG,AK_FK
237,Fvb1,11800001,11850000,50000,*,17245,40001,0.07747504774819,CG,AK_FK
