,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb7,context,group
216,Fvb7,10750001,10800000,50000,*,1947,27281,0.0270003963840377,CHG,AL_FL
217,Fvb7,10800001,10850000,50000,*,3334,25113,0.105707485851893,CHG,AL_FL
218,Fvb7,10850001,10900000,50000,*,1880,19799,0.00318785112911933,CHG,AL_FL
219,Fvb7,10900001,10950000,50000,*,1446,27228,-0.0012068404859842,CHG,AL_FL
220,Fvb7,10950001,11000000,50000,*,6759,22980,0.00949288564075546,CHG,AL_FL
221,Fvb7,11000001,11050000,50000,*,4992,26737,-0.00038529274547805,CHG,AL_FL
222,Fvb7,11050001,11100000,50000,*,1685,21779,0.0275078635509539,CHG,AL_FL
223,Fvb7,11100001,11150000,50000,*,3694,23355,0.0449703178925766,CHG,AL_FL
224,Fvb7,11150001,11200000,50000,*,1459,23435,0.00291456723477825,CHG,AL_FL
225,Fvb7,11200001,11250000,50000,*,7368,18680,-0.0518015568087167,CHG,AL_FL
226,Fvb7,11250001,11300000,50000,*,7858,24084,-0.0634439820084938,CHG,AL_FL
227,Fvb7,11300001,11350000,50000,*,4119,23234,-0.0113278813736017,CHG,AL_FL
228,Fvb7,11350001,11400000,50000,*,8540,28164,0.0510240868890647,CHG,AL_FL
229,Fvb7,11400001,11450000,50000,*,3989,19718,-0.00948651493789596,CHG,AL_FL
230,Fvb7,11450001,11500000,50000,*,3123,24488,0.0693259881495211,CHG,AL_FL
231,Fvb7,11500001,11550000,50000,*,5888,18220,0.150793343169582,CHG,AL_FL
232,Fvb7,11550001,11600000,50000,*,714,36424,0.00106121928940835,CHG,AL_FL
233,Fvb7,11600001,11650000,50000,*,3715,21208,-0.0344301488117202,CHG,AL_FL
234,Fvb7,11650001,11700000,50000,*,4437,21132,0.0459611608692915,CHG,AL_FL
235,Fvb7,11700001,11750000,50000,*,1400,26326,-0.02893886422293,CHG,AL_FL
236,Fvb7,11750001,11800000,50000,*,7436,17697,-0.0267739711470274,CHG,AL_FL
237,Fvb7,11800001,11850000,50000,*,5353,23941,0.0240435060151661,CHG,AL_FL
238,Fvb7,11850001,11900000,50000,*,2753,26795,0.0405402838090845,CHG,AL_FL
239,Fvb7,11900001,11950000,50000,*,9044,21730,0.0401398194132465,CHG,AL_FL
240,Fvb7,11950001,12000000,50000,*,2533,25293,0.0257388070154013,CHG,AL_FL
241,Fvb7,12000001,12050000,50000,*,2757,29713,0.0664251249338129,CHG,AL_FL
242,Fvb7,12050001,12100000,50000,*,2820,28100,-0.006248809101375,CHG,AL_FL
243,Fvb7,12100001,12150000,50000,*,3578,24795,0.0312903562407044,CHG,AL_FL
244,Fvb7,12150001,12200000,50000,*,3668,29957,0.0417064348118926,CHG,AL_FL
245,Fvb7,12200001,12250000,50000,*,1948,28972,0.0092762984803221,CHG,AL_FL
246,Fvb7,12250001,12300000,50000,*,4881,21966,0.0267640092801649,CHG,AL_FL
247,Fvb7,12300001,12350000,50000,*,2364,31034,0.0410378993252274,CHG,AL_FL
248,Fvb7,12350001,12400000,50000,*,592,14745,-0.0587139977999561,CHG,AL_FL
249,Fvb7,12400001,12450000,50000,*,4300,27242,0.0575793240494615,CHG,AL_FL
250,Fvb7,12450001,12500000,50000,*,315,16257,-0.0203415975076193,CHG,AL_FL
251,Fvb7,12500001,12550000,50000,*,150,13071,-0.164935163553803,CHG,AL_FL
252,Fvb7,12550001,12600000,50000,*,1018,28403,0.0167476818255555,CHG,AL_FL
253,Fvb7,12600001,12650000,50000,*,3796,27358,-0.0514091510192436,CHG,AL_FL
254,Fvb7,12650001,12700000,50000,*,5702,27319,0.134856972852095,CHG,AL_FL
255,Fvb7,12700001,12750000,50000,*,6987,24459,0.128371122575593,CHG,AL_FL
256,Fvb7,12750001,12800000,50000,*,530,32211,-0.00256958171988808,CHG,AL_FL
257,Fvb7,12800001,12850000,50000,*,2321,27698,0.0473691746925237,CHG,AL_FL
258,Fvb7,12850001,12900000,50000,*,2448,24946,-0.00433964484194344,CHG,AL_FL
259,Fvb7,12900001,12950000,50000,*,3151,25318,0.0383352791973006,CHG,AL_FL
260,Fvb7,12950001,13000000,50000,*,2767,26766,0.0403415197451023,CHG,AL_FL
261,Fvb7,13000001,13050000,50000,*,1535,29340,0.0214791055424534,CHG,AL_FL
262,Fvb7,13050001,13100000,50000,*,3839,24391,0.0355190191925805,CHG,AL_FL
263,Fvb7,13100001,13150000,50000,*,3040,26086,0.0124275704976349,CHG,AL_FL
264,Fvb7,13150001,13200000,50000,*,406,34815,-0.00176358330480259,CHG,AL_FL
265,Fvb7,13200001,13250000,50000,*,2135,25508,0.0215874303713754,CHG,AL_FL
266,Fvb7,13250001,13300000,50000,*,6310,19332,-0.185887959262391,CHG,AL_FL
267,Fvb7,13300001,13350000,50000,*,3521,20370,0.0440643548890972,CHG,AL_FL
268,Fvb7,13350001,13400000,50000,*,592,32734,-0.0127121062072832,CHG,AL_FL
269,Fvb7,13400001,13450000,50000,*,1167,29563,0.00618927296264876,CHG,AL_FL
270,Fvb7,13450001,13500000,50000,*,1474,20287,0.00601833683532182,CHG,AL_FL
271,Fvb7,13500001,13550000,50000,*,1255,30298,0.00859189990289079,CHG,AL_FL
272,Fvb7,13550001,13600000,50000,*,3734,23575,0.0168059862707876,CHG,AL_FL
273,Fvb7,13600001,13650000,50000,*,3144,19255,0.0633607971690229,CHG,AL_FL
274,Fvb7,13650001,13700000,50000,*,3278,24319,-0.00608063853152546,CHG,AL_FL
275,Fvb7,13700001,13750000,50000,*,2949,28255,0.0203210367807127,CHG,AL_FL
276,Fvb7,13750001,13800000,50000,*,4579,17416,0.0114003212643393,CHG,AL_FL
277,Fvb7,13800001,13850000,50000,*,1916,20299,-0.0296783110186183,CHG,AL_FL
278,Fvb7,13850001,13900000,50000,*,4325,14389,0.065555778027356,CHG,AL_FL
279,Fvb7,13900001,13950000,50000,*,1670,26541,-0.00601370549436958,CHG,AL_FL
280,Fvb7,13950001,14000000,50000,*,845,27697,0.00258596361475957,CHG,AL_FL
281,Fvb7,14000001,14050000,50000,*,1494,26629,-0.0112218177164792,CHG,AL_FL
282,Fvb7,14050001,14100000,50000,*,1988,26820,0.0112972753749095,CHG,AL_FL
283,Fvb7,14100001,14150000,50000,*,2709,21836,-0.0632946441343537,CHG,AL_FL
284,Fvb7,14150001,14200000,50000,*,6226,20077,0.101267559897739,CHG,AL_FL
285,Fvb7,14200001,14250000,50000,*,2570,22051,-0.0397943833413834,CHG,AL_FL
286,Fvb7,14250001,14300000,50000,*,4014,21585,-0.0455628395422196,CHG,AL_FL
287,Fvb7,14300001,14350000,50000,*,4168,22776,0.0431319923088828,CHG,AL_FL
