Name;NK0HR1;NK0HR2;NK0HR3;NK42DR1;NK42DR2;NK42DR3;NL0HR1;NL0HR2;NL0HR3;NL42DR1;NL42DR2;NL42DR3
FvH4_2g15610;2026;1879;1776;2283;1929;2408;1391;1162;953;2020;1724;2367
FvH4_5g09240;609;544;517;757;682;757;408;340;342;540;492;684
FvH4_1g02440;3195;2859;2650;1655;1438;1763;2768;2291;1928;1719;1887;2392
FvH4_5g09241;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g22220;2784;2735;2319;2481;2675;2196;2026;2969;2681;1222;2486;1892
FvH4_5g24880;5;2;0;0;1;3;4;0;0;0;0;1
FvH4_5g22221;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g21140;100;104;93;54;68;104;118;89;91;112;80;132
FvH4_4g21141;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g09250;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g10240;3312;3405;2931;2992;2464;3157;1392;1173;1203;1574;1252;1720
FvH4_6g53282;0;0;0;0;0;1;0;1;0;0;0;0
FvH4_2g03630;29;23;30;10;5;17;10;0;0;39;3;10
FvH4_5g36850;47;44;16;75;100;79;0;2;0;1;7;0
FvH4_6g53280;76;73;50;73;54;62;119;15;8;34;0;21
FvH4_6g53281;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g14410;15;10;12;15;21;17;9;7;7;25;13;25
FvH4_4g08170;781;663;654;492;341;582;552;250;265;772;296;871
FvH4_4g35770;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g33110;753;807;813;833;775;910;440;466;438;465;421;609
FvH4_3g34570;216;180;191;141;99;185;31;13;14;16;97;29
FvH4_1g02430;92;94;68;71;80;68;43;45;46;37;61;53
FvH4_2g15600;28;23;29;78;53;91;1085;1323;1117;819;1256;1119
FvH4_5g22210;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g27570;372;400;408;722;544;722;273;252;265;496;403;552
FvH4_7g07980;325;296;288;328;284;351;240;168;142;183;68;142
FvH4_3g09552;0;0;0;0;1;0;0;0;0;0;0;2
FvH4_3g09551;437;412;371;801;662;853;359;407;395;237;535;406
FvH4_3g09550;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g39550;1520;1677;1515;2287;1890;2483;1186;843;889;1417;667;1696
FvH4_3g22530;5714;5721;5013;4957;3962;4927;3228;2970;2584;3436;3034;3938
FvH4_7g20950;6;3;6;7;17;6;0;0;0;0;0;0
FvH4_5g12900;243;236;234;127;100;140;143;51;61;132;47;148
FvH4_2g15590;101;99;111;121;138;143;1028;1080;963;567;1262;947
FvH4_2g40551;0;4;0;2;6;2;0;2;1;1;1;3
FvH4_2g40550;40;84;66;126;160;151;182;171;115;121;154;158
FvH4_7g19970;1048;947;854;1173;1009;1262;873;866;836;950;744;1135
FvH4_1g02500;419;348;374;177;204;284;1834;1281;1129;408;227;462
FvH4_5g12901;1994;1841;1716;998;874;1027;1155;1047;995;902;721;1067
FvH4_3g34520;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g17310;80;80;78;166;104;159;146;79;70;382;224;428
FvH4_3g10550;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g32930;243;226;204;154;136;201;450;521;422;218;208;261
FvH4_2g27560;315;325;306;175;167;160;35;22;28;34;35;21
FvH4_5g00930;777;811;725;458;371;550;851;1045;905;721;673;761
FvH4_7g07990;915;898;773;734;630;757;750;647;682;527;430;715
FvH4_3g09540;0;0;0;0;0;0;5;1;0;0;0;0
FvH4_7g05330;1;4;0;0;1;1;4;1;0;0;0;2
FvH4_7g05331;67;61;53;52;46;91;62;44;42;57;35;73
FvH4_2g39540;1170;1076;1059;869;614;946;1090;703;643;742;445;844
FvH4_3g22540;505;454;482;591;391;672;223;180;143;214;103;211
FvH4_2g15580;57;68;61;29;30;44;54;10;14;101;10;66
FvH4_5g12911;586;632;548;836;737;866;506;463;438;627;704;822
FvH4_5g12910;1254;1372;1276;1743;1523;1835;603;602;476;1179;955;1316
FvH4_2g40560;3;15;7;49;65;55;266;552;380;388;884;715
FvH4_7g17300;2745;2453;2218;997;999;1108;38;3;5;41;10;42
FvH4_3g10560;0;0;0;0;1;0;0;0;0;0;0;0
FvH4_7g32920;1085;1067;1095;5374;5082;5772;1221;1868;1664;4351;8141;6878
FvH4_3g34510;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g27591;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g00900;18;13;6;16;21;15;4;3;0;2;1;1
FvH4_2g27592;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g29310;3588;3122;3054;6825;5399;6461;2278;1766;1577;2198;2005;2562
FvH4_3g09530;187;164;160;125;145;175;81;43;52;41;42;52
FvH4_4g21190;285;190;217;156;129;161;69;90;89;48;68;86
FvH4_3g22550;602;581;591;656;526;645;378;269;242;476;483;606
FvH4_7g20970;1143;1174;1166;526;421;423;606;843;853;116;683;216
FvH4_2g39570;3197;2812;2604;3403;2210;3156;1664;1276;1170;1749;1546;1905
FvH4_1g02520;0;0;0;0;0;1;0;0;0;0;0;0
