Name;FK0HR1;FK0HR2;FK0HR3;FK42DR1;FK42DR2;FK42DR3;FL0HR1;FL0HR2;FL0HR3;FL42DR1;FL42DR2;FL42DR3
FvH4_2g38380;383;391;427;610;750;577;0;3;2;1;1;1
FvH4_6g29400;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g05430;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g18720;42;34;46;28;24;25;51;19;62;35;9;23
FvH4_6g17400;1;0;1;0;0;0;0;1;0;0;4;4
FvH4_7g06740;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g29410;36;33;48;11;12;7;4037;2938;4042;1749;1544;1588
FvH4_6g29411;234;211;221;145;154;111;167;160;148;167;208;223
FvH4_6g05420;12;26;8;19;36;18;10;15;10;10;26;10
FvH4_6g05421;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_2g26390;1153;1119;1259;820;861;619;713;773;729;581;617;494
FvH4_7g18710;210;205;248;205;183;168;335;362;355;611;830;643
FvH4_7g06750;1;2;1;0;0;1;1;4;3;2;2;1
FvH4_6g17430;0;0;0;0;0;0;0;0;0;0;0;1
FvH4_6g05450;913;900;918;461;450;313;275;789;223;334;695;370
FvH4_7g18740;370;321;343;312;192;197;221;254;211;281;329;270
FvH4_7g31700;1172;1120;1219;927;1025;780;721;1920;900;77;210;94
FvH4_6g17420;798;710;782;554;586;506;321;357;322;391;493;357
FvH4_7g04100;78;85;95;19;16;8;5;21;3;32;29;24
FvH4_2g38390;657;607;770;420;191;238;287;330;366;629;638;607
FvH4_7g18730;141;122;118;54;57;48;78;66;67;64;111;91
FvH4_6g05440;2555;2397;2688;9;11;11;0;0;0;0;0;0
FvH4_6g40110;976;905;1076;366;303;312;409;451;444;306;400;321
FvH4_4g12810;25;19;32;7;2;4;168;102;260;220;98;188
FvH4_6g15150;114;107;95;93;68;52;736;577;829;422;534;498
FvH4_6g15151;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g12820;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g03170;34;33;40;19;42;22;19;267;7;2;87;1
FvH4_5g33170;1;0;0;1;2;3;0;15;0;3;3;2
FvH4_4g00821;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g00820;1084;1045;1188;210;155;172;374;184;731;435;345;267
FvH4_6g27140;9;12;8;0;0;0;0;1;0;0;0;0
